round,grade,matchup,opposition,batting_team,total_runs,total_wickets
9,3rd,NOR vs KIN,KIN,NOR,214,8
9,3rd,NOR vs KIN,NOR,KIN,215,5
9,3rd,MEL vs FIT,FIT,MEL,177,10
9,3rd,MEL vs FIT,MEL,FIT,179,3
9,3rd,FOO vs RIC,RIC,FOO,233,4
9,3rd,FOO vs RIC,FOO,RIC,234,7
9,3rd,RIN vs CAM,CAM,RIN,245,9
9,3rd,RIN vs CAM,RIN,CAM,229,10
9,3rd,CAR vs ESS,ESS,CAR,210,9
9,3rd,CAR vs ESS,CAR,ESS,213,8
9,3rd,GRE vs CAS,CAS,GRE,162,9
9,3rd,GRE vs CAS,GRE,CAS,164,4
9,3rd,ST vs GEE,GEE,ST,255,6
9,3rd,ST vs GEE,ST,GEE,236,9
9,3rd,PRA vs MEL,MEL,PRA,83,10
9,3rd,PRA vs MEL,PRA,MEL,84,1
9,3rd,DAN vs FRA,FRA,DAN,219,7
9,3rd,DAN vs FRA,DAN,FRA,189,10
10,3rd,ESS vs RIC,RIC,ESS,181,9
10,3rd,ESS vs RIC,ESS,RIC,182,9
10,3rd,GRE vs DAN,DAN,GRE,174,7
10,3rd,GRE vs DAN,GRE,DAN,179,6
10,3rd,MEL vs RIN,RIN,MEL,215,10
10,3rd,MEL vs RIN,MEL,RIN,135,10
10,3rd,GEE vs CAS,CAS,GEE,207,6
10,3rd,GEE vs CAS,GEE,CAS,204,10
10,3rd,CAM vs FRA,FRA,CAM,155,5
10,3rd,CAM vs FRA,CAM,FRA,114,10
10,3rd,NOR vs MEL,MEL,NOR,226,7
10,3rd,NOR vs MEL,NOR,MEL,228,2
10,3rd,PRA vs CAR,CAR,PRA,225,8
10,3rd,PRA vs CAR,PRA,CAR,146,10
10,3rd,FOO vs FIT,FIT,FOO,131,10
10,3rd,FOO vs FIT,FOO,FIT,132,1
10,3rd,ST vs KIN,KIN,ST,351,5
10,3rd,ST vs KIN,ST,KIN,141,10
11,3rd,GRE vs FOO,FOO,GRE,194,9
11,3rd,GRE vs FOO,GRE,FOO,198,5
11,3rd,FIT vs GEE,GEE,FIT,287,6
11,3rd,FIT vs GEE,FIT,GEE,279,6
11,3rd,PRA vs RIC,RIC,PRA,249,8
11,3rd,PRA vs RIC,PRA,RIC,232,10
11,3rd,CAR vs RIN,RIN,CAR,262,6
11,3rd,CAR vs RIN,CAR,RIN,265,4
11,3rd,KIN vs CAS,CAS,KIN,269,5
11,3rd,KIN vs CAS,KIN,CAS,182,8
11,3rd,NOR vs ST,ST,NOR,178,10
11,3rd,NOR vs ST,NOR,ST,182,5
11,3rd,MEL vs ESS,ESS,MEL,220,5
11,3rd,MEL vs ESS,MEL,ESS,118,10
11,3rd,MEL vs FRA,FRA,MEL,224,7
11,3rd,MEL vs FRA,MEL,FRA,171,10
11,3rd,CAM vs DAN,DAN,CAM,192,6
11,3rd,CAM vs DAN,CAM,DAN,193,6
12,3rd,1st RIC vs 1st RIN,1st RIN,1st RIC,189,10
12,3rd,1st RIC vs 1st RIN,1st RIC,1st RIN,223,10
12,3rd,1st RIC vs 1st RIN,1st RIC,2nd RIC,6,0
12,3rd,1st NOR vs 1st ESS,1st ESS,1st NOR,315,9
12,3rd,1st NOR vs 1st ESS,1st NOR,1st ESS,236,10
12,3rd,1st DAN vs 1st GEE,1st GEE,1st DAN,137,10
12,3rd,1st DAN vs 1st GEE,1st DAN,1st GEE,308,5
12,3rd,1st KIN vs 1st GRE,1st GRE,1st KIN,288,2d
12,3rd,1st KIN vs 1st GRE,1st KIN,1st GRE,178,10
12,3rd,1st FOO vs 1st CAS,1st CAS,1st FOO,250,10
12,3rd,1st FOO vs 1st CAS,1st FOO,1st CAS,198,10
12,3rd,1st PRA vs 1st MEL,1st MEL,1st PRA,258,10
12,3rd,1st PRA vs 1st MEL,1st PRA,1st MEL,261,7
12,3rd,1st CAM vs 1st ST,1st ST,1st CAM,289,9
12,3rd,1st CAM vs 1st ST,1st CAM,1st ST,291,9
12,3rd,1st CAR vs 1st MEL,1st MEL,1st CAR,245,10
12,3rd,1st CAR vs 1st MEL,1st CAR,1st MEL,311,7
13,3rd,1st PRA vs 1st NOR,1st NOR,1st PRA,359,6d
13,3rd,1st PRA vs 1st NOR,1st PRA,1st NOR,266,8
12,3rd,1st FRA vs 1st FIT,1st FIT,1st FRA,185,10
12,3rd,1st FRA vs 1st FIT,1st FRA,1st FIT,171,10
12,3rd,1st FRA vs 1st FIT,1st FRA,2nd FRA,9,0
12,3rd,1st FRA vs 1st FIT,1st FRA,2nd FIT,,0
13,3rd,1st RIN vs 1st CAS,1st CAS,1st RIN,425,9d
13,3rd,1st RIN vs 1st CAS,1st RIN,1st CAS,322,9
13,3rd,1st FOO vs 1st ESS,1st ESS,1st FOO,241,10
13,3rd,1st FOO vs 1st ESS,1st FOO,1st ESS,285,9
13,3rd,1st FOO vs 1st ESS,1st FOO,2nd FOO,36,1
13,3rd,1st GRE vs 1st MEL,1st MEL,1st GRE,173,10
13,3rd,1st GRE vs 1st MEL,1st GRE,1st MEL,262,3
13,3rd,1st DAN vs 1st MEL,1st MEL,1st DAN,108,10
13,3rd,1st DAN vs 1st MEL,1st DAN,1st MEL,223,10
13,3rd,1st DAN vs 1st MEL,1st DAN,2nd DAN,147,5
13,3rd,1st CAM vs 1st CAR,1st CAR,1st CAM,271,10
13,3rd,1st CAM vs 1st CAR,1st CAM,1st CAR,272,7
13,3rd,1st RIC vs 1st ST,1st ST,1st RIC,283,10
13,3rd,1st RIC vs 1st ST,1st RIC,1st ST,297,6
13,3rd,1st GEE vs 1st FRA,1st FRA,1st GEE,209,10
13,3rd,1st GEE vs 1st FRA,1st GEE,1st FRA,172,10
13,3rd,1st GEE vs 1st FRA,1st GEE,2nd GEE,,0
14,3rd,1st MEL vs 1st NOR,1st NOR,1st MEL,101,10
14,3rd,1st MEL vs 1st NOR,1st MEL,1st NOR,114,3d
14,3rd,1st MEL vs 1st NOR,1st MEL,2nd MEL,235,6d
14,3rd,1st MEL vs 1st NOR,1st MEL,2nd NOR,92,10
13,3rd,1st FIT vs 1st KIN,1st KIN,1st FIT,337,10
13,3rd,1st FIT vs 1st KIN,1st FIT,1st KIN,177,10
13,3rd,1st FIT vs 1st KIN,1st FIT,2nd FIT,,0
14,3rd,1st CAS vs 1st RIC,1st RIC,1st CAS,215,10
14,3rd,1st CAS vs 1st RIC,1st CAS,1st RIC,217,6
14,3rd,1st GEE vs 1st GRE,1st GRE,1st GEE,281,9
14,3rd,1st GEE vs 1st GRE,1st GEE,1st GRE,198,10
14,3rd,1st GEE vs 1st GRE,1st GEE,2nd GEE,,0
14,3rd,1st FIT vs 1st ESS,1st ESS,1st FIT,361,9
14,3rd,1st FIT vs 1st ESS,1st FIT,1st ESS,183,7
14,3rd,1st CAM vs 1st MEL,1st MEL,1st CAM,163,10
14,3rd,1st CAM vs 1st MEL,1st CAM,1st MEL,219,5
14,3rd,1st CAR vs 1st DAN,1st DAN,1st CAR,401,10
14,3rd,1st CAR vs 1st DAN,1st CAR,1st DAN,109,10
14,3rd,1st FRA vs 1st KIN,1st KIN,1st FRA,393,5d
14,3rd,1st FRA vs 1st KIN,1st FRA,1st KIN,130,10
14,3rd,1st PRA vs 1st FOO,1st FOO,1st PRA,153,10
14,3rd,1st PRA vs 1st FOO,1st PRA,1st FOO,154,9
14,3rd,1st RIN vs 1st ST,1st ST,1st RIN,244,10
14,3rd,1st RIN vs 1st ST,1st RIN,1st ST,202,10
1,4th,1st FOO vs 1st ST,1st ST,1st FOO,201,10
1,4th,1st FOO vs 1st ST,1st FOO,1st ST,205,3
1,4th,1st FRA vs 1st RIC,1st RIC,1st FRA,306,7d
1,4th,1st FRA vs 1st RIC,1st FRA,1st RIC,266,7
1,4th,1st CAR vs 1st MEL,1st MEL,1st CAR,219,10
1,4th,1st CAR vs 1st MEL,1st CAR,1st MEL,220,8
2,4th,1st RIC vs 1st ST,1st ST,1st RIC,261,10
2,4th,1st RIC vs 1st ST,1st RIC,1st ST,239,10
2,4th,1st MEL vs 1st FIT,1st FIT,1st MEL,371,10
2,4th,1st MEL vs 1st FIT,1st MEL,1st FIT,128,10
3,4th,1st MEL vs 1st RIC,1st RIC,1st MEL,312,10
3,4th,1st MEL vs 1st RIC,1st MEL,1st RIC,192,10
4,4th,GRE vs FRA,FRA,GRE,156,9
4,4th,GRE vs FRA,GRE,FRA,158,3
4,4th,FIT vs RIN,RIN,FIT,245,10
4,4th,FIT vs RIN,FIT,RIN,202,10
4,4th,CAM vs KIN,KIN,CAM,213,7
4,4th,CAM vs KIN,CAM,KIN,214,2
4,4th,FOO vs NOR,NOR,FOO,282,5
4,4th,FOO vs NOR,FOO,NOR,217,9
4,4th,MEL vs GEE,GEE,MEL,189,9
4,4th,MEL vs GEE,MEL,GEE,193,4
4,4th,ST vs CAS,CAS,ST,220,7
4,4th,ST vs CAS,ST,CAS,163,9
4,4th,PRA vs ESS,ESS,PRA,191,7
4,4th,PRA vs ESS,PRA,ESS,146,10
5,4th,DAN vs CAS,CAS,DAN,232,10
5,4th,DAN vs CAS,DAN,CAS,147,10
5,4th,RIN vs GRE,GRE,RIN,189,10
5,4th,RIN vs GRE,RIN,GRE,134,10
5,4th,FOO vs MEL,MEL,FOO,239,7
5,4th,FOO vs MEL,FOO,MEL,237,6
5,4th,ST vs FIT,FIT,ST,198,8
5,4th,ST vs FIT,ST,FIT,199,2
5,4th,GEE vs RIC,RIC,GEE,206,9
5,4th,GEE vs RIC,GEE,RIC,207,9
5,4th,PRA vs FRA,FRA,PRA,109,10
5,4th,PRA vs FRA,PRA,FRA,114,4
5,4th,CAM vs NOR,NOR,CAM,191,9
5,4th,CAM vs NOR,CAM,NOR,195,8
6,4th,NOR vs FRA,FRA,NOR,132,8
6,4th,NOR vs FRA,NOR,FRA,133,2
6,4th,GRE vs CAM,CAM,GRE,202,10
6,4th,GRE vs CAM,GRE,CAM,194,10
5,4th,CAR vs MEL,MEL,CAR,241,10
5,4th,CAR vs MEL,CAR,MEL,242,2
6,4th,MEL vs ST,ST,MEL,188,9
6,4th,MEL vs ST,MEL,ST,194,4
6,4th,PRA vs DAN,DAN,PRA,223,4
6,4th,PRA vs DAN,PRA,DAN,197,10
6,4th,KIN vs GEE,GEE,KIN,182,10
6,4th,KIN vs GEE,KIN,GEE,184,2
6,4th,CAS vs FIT,FIT,CAS,157,3
6,4th,CAS vs FIT,CAS,FIT,159,3
7,4th,ESS vs ST,ST,ESS,43,0
7,4th,ESS vs ST,ESS,ST,77,2
7,4th,FOO vs DAN,DAN,FOO,69,0
7,4th,FOO vs DAN,FOO,DAN,21,3
6,4th,FOO vs CAR,CAR,FOO,165,7
6,4th,FOO vs CAR,FOO,CAR,166,4
7,4th,GEE vs NOR,NOR,GEE,107,8
7,4th,GEE vs NOR,GEE,NOR,111,7
7,4th,RIN vs KIN,KIN,RIN,154,5
7,4th,RIN vs KIN,RIN,KIN,129,5
7,4th,FRA vs MEL,MEL,FRA,126,8
7,4th,FRA vs MEL,FRA,MEL,131,9
7,4th,PRA vs CAS,CAS,PRA,65,3
7,4th,PRA vs CAS,PRA,CAS,59,4
8,4th,DAN vs RIC,RIC,DAN,64,9
8,4th,DAN vs RIC,DAN,RIC,65,3
8,4th,KIN vs MEL,MEL,KIN,100,10
8,4th,KIN vs MEL,KIN,MEL,104,3
8,4th,CAM vs ESS,ESS,CAM,102,8
8,4th,CAM vs ESS,CAM,ESS,106,6
8,4th,GRE vs PRA,PRA,GRE,82,10
8,4th,GRE vs PRA,GRE,PRA,83,4
8,4th,ST vs MEL,MEL,ST,123,10
8,4th,ST vs MEL,ST,MEL,115,7
8,4th,RIN vs FRA,FRA,RIN,154,10
8,4th,RIN vs FRA,RIN,FRA,158,4
8,4th,NOR vs FIT,FIT,NOR,139,5
8,4th,NOR vs FIT,NOR,FIT,136,8
8,4th,CAS vs CAR,CAR,CAS,114,5
8,4th,CAS vs CAR,CAS,CAR,116,3
8,4th,FOO vs GEE,GEE,FOO,107,6
8,4th,FOO vs GEE,FOO,GEE,93,9
9,4th,ST vs GEE,GEE,ST,210,6
9,4th,ST vs GEE,ST,GEE,188,10
9,4th,RIC vs FOO,FOO,RIC,161,10
9,4th,RIC vs FOO,RIC,FOO,162,3
9,4th,PRA vs MEL,MEL,PRA,158,10
9,4th,PRA vs MEL,PRA,MEL,164,3
9,4th,FRA vs DAN,DAN,FRA,252,9
9,4th,FRA vs DAN,FRA,DAN,159,9
9,4th,NOR vs KIN,KIN,NOR,204,7
9,4th,NOR vs KIN,NOR,KIN,136,10
9,4th,CAM vs RIN,RIN,CAM,194,7
9,4th,CAM vs RIN,CAM,RIN,193,10
9,4th,MEL vs FIT,FIT,MEL,219,9
9,4th,MEL vs FIT,MEL,FIT,158,10
9,4th,CAS vs GRE,GRE,CAS,249,3
9,4th,CAS vs GRE,CAS,GRE,192,8
9,4th,ESS vs CAR,CAR,ESS,172,10
9,4th,ESS vs CAR,ESS,CAR,122,10
10,4th,PRA vs CAR,CAR,PRA,225,10
10,4th,PRA vs CAR,PRA,CAR,227,3
10,4th,FRA vs CAM,CAM,FRA,180,10
10,4th,FRA vs CAM,FRA,CAM,182,8
10,4th,CAS vs GEE,GEE,CAS,231,5
10,4th,CAS vs GEE,CAS,GEE,232,4
10,4th,KIN vs ST,ST,KIN,68,10
10,4th,KIN vs ST,KIN,ST,72,0
10,4th,NOR vs MEL,MEL,NOR,136,9
10,4th,NOR vs MEL,NOR,MEL,137,4
10,4th,FIT vs FOO,FOO,FIT,237,5
10,4th,FIT vs FOO,FIT,FOO,239,7
10,4th,RIN vs MEL,MEL,RIN,199,7
10,4th,RIN vs MEL,RIN,MEL,201,7
10,4th,ESS vs RIC,RIC,ESS,121,10
10,4th,ESS vs RIC,ESS,RIC,122,2
11,4th,MEL vs ESS,ESS,MEL,142,10
11,4th,MEL vs ESS,MEL,ESS,145,6
11,4th,FIT vs GEE,GEE,FIT,262,5
11,4th,FIT vs GEE,FIT,GEE,194,8
11,4th,FRA vs MEL,MEL,FRA,184,8
11,4th,FRA vs MEL,FRA,MEL,186,7
11,4th,ST vs NOR,NOR,ST,292,5
11,4th,ST vs NOR,ST,NOR,180,10
11,4th,DAN vs CAM,CAM,DAN,158,5
11,4th,DAN vs CAM,DAN,CAM,159,1
11,4th,CAR vs RIN,RIN,CAR,254,3
11,4th,CAR vs RIN,CAR,RIN,257,9
11,4th,FOO vs GRE,GRE,FOO,177,9
11,4th,FOO vs GRE,FOO,GRE,160,10
11,4th,CAS vs KIN,KIN,CAS,160,10
11,4th,CAS vs KIN,CAS,KIN,164,3
11,4th,PRA vs RIC,RIC,PRA,182,10
11,4th,PRA vs RIC,PRA,RIC,183,4
12,4th,1st MEL vs 1st CAR,1st CAR,1st MEL,236,10
12,4th,1st MEL vs 1st CAR,1st MEL,1st CAR,157,10
12,4th,1st DAN vs 1st GEE,1st GEE,1st DAN,264,10
12,4th,1st DAN vs 1st GEE,1st DAN,1st GEE,262,8
12,4th,1st RIN vs 1st RIC,1st RIC,1st RIN,237,10
12,4th,1st RIN vs 1st RIC,1st RIN,1st RIC,336,9
12,4th,1st CAM vs 1st ST,1st ST,1st CAM,155,7
12,4th,1st CAM vs 1st ST,1st CAM,1st ST,136,7
12,4th,1st FIT vs 1st FRA,1st FRA,1st FIT,287,8d
12,4th,1st FIT vs 1st FRA,1st FIT,1st FRA,187,10
12,4th,1st NOR vs 1st ESS,1st ESS,1st NOR,133,10
12,4th,1st NOR vs 1st ESS,1st NOR,1st ESS,142,3d
12,4th,1st NOR vs 1st ESS,1st NOR,2nd NOR,158,2d
12,4th,1st NOR vs 1st ESS,1st NOR,2nd ESS,153,5
12,4th,1st PRA vs 1st MEL,1st MEL,1st PRA,175,10
12,4th,1st PRA vs 1st MEL,1st PRA,1st MEL,198,8
12,4th,1st GRE vs 1st KIN,1st KIN,1st GRE,211,10
12,4th,1st GRE vs 1st KIN,1st GRE,1st KIN,330,7
12,4th,1st CAS vs 1st FOO,1st FOO,1st CAS,292,5
12,4th,1st CAS vs 1st FOO,1st CAS,1st FOO,168,10
13,4th,1st RIC vs 1st ST,1st ST,1st RIC,143,10
13,4th,1st RIC vs 1st ST,1st RIC,1st ST,102,10
13,4th,1st RIC vs 1st ST,1st RIC,2nd RIC,210,4
13,4th,1st KIN vs 1st FIT,1st FIT,1st KIN,124,10
13,4th,1st KIN vs 1st FIT,1st KIN,1st FIT,127,5d
13,4th,1st KIN vs 1st FIT,1st KIN,2nd KIN,111,10
13,4th,1st KIN vs 1st FIT,1st KIN,2nd FIT,109,5
13,4th,1st FOO vs 1st ESS,1st ESS,1st FOO,307,7d
13,4th,1st FOO vs 1st ESS,1st FOO,1st ESS,252,10
13,4th,1st DAN vs 1st MEL,1st MEL,1st DAN,94,10
13,4th,1st DAN vs 1st MEL,1st DAN,1st MEL,220,4d
13,4th,1st DAN vs 1st MEL,1st DAN,2nd DAN,169,9
13,4th,1st DAN vs 1st MEL,1st DAN,2nd MEL,44,0
13,4th,1st NOR vs 1st PRA,1st PRA,1st NOR,187,10
13,4th,1st NOR vs 1st PRA,1st NOR,1st PRA,149,10
13,4th,1st CAR vs 1st CAM,1st CAM,1st CAR,350,9d
13,4th,1st CAR vs 1st CAM,1st CAR,1st CAM,226,7
13,4th,1st FRA vs 1st GEE,1st GEE,1st FRA,256,10
13,4th,1st FRA vs 1st GEE,1st FRA,1st GEE,159,10
13,4th,1st FRA vs 1st GEE,1st FRA,2nd FRA,66,5
13,4th,1st CAS vs 1st RIN,1st RIN,1st CAS,197,10
13,4th,1st CAS vs 1st RIN,1st CAS,1st RIN,285,7
14,4th,1st CAS vs 1st RIC,1st RIC,1st CAS,99,10
14,4th,1st CAS vs 1st RIC,1st CAS,1st RIC,114,9d
14,4th,1st CAS vs 1st RIC,1st CAS,2nd CAS,144,10
14,4th,1st CAS vs 1st RIC,1st CAS,2nd RIC,130,5
14,4th,1st FIT vs 1st ESS,1st ESS,1st FIT,329,8d
14,4th,1st FIT vs 1st ESS,1st FIT,1st ESS,209,10
13,4th,1st GRE vs 1st MEL,1st MEL,1st GRE,88,10
13,4th,1st GRE vs 1st MEL,1st GRE,1st MEL,189,6d
13,4th,1st GRE vs 1st MEL,1st GRE,2nd GRE,101,10
13,4th,1st GRE vs 1st MEL,1st GRE,2nd MEL,4,0
14,4th,1st DAN vs 1st CAR,1st CAR,1st DAN,134,10
14,4th,1st DAN vs 1st CAR,1st DAN,1st CAR,172,1d
14,4th,1st DAN vs 1st CAR,1st DAN,2nd DAN,122,10
14,4th,1st DAN vs 1st CAR,1st DAN,2nd CAR,85,1
14,4th,1st MEL vs 1st CAM,1st CAM,1st MEL,272,5d
14,4th,1st MEL vs 1st CAM,1st MEL,1st CAM,66,10
14,4th,1st MEL vs 1st CAM,1st MEL,2nd CAM,145,6
14,4th,1st KIN vs 1st FRA,1st FRA,1st KIN,122,10
14,4th,1st KIN vs 1st FRA,1st KIN,1st FRA,127,3d
14,4th,1st KIN vs 1st FRA,1st KIN,2nd KIN,51,9
14,4th,1st KIN vs 1st FRA,1st KIN,2nd FRA,47,1
14,4th,1st PRA vs 1st FOO,1st FOO,1st PRA,155,10
14,4th,1st PRA vs 1st FOO,1st PRA,1st FOO,201,9d
14,4th,1st PRA vs 1st FOO,1st PRA,2nd PRA,68,1
14,4th,1st NOR vs 1st MEL,1st MEL,1st NOR,52,10
14,4th,1st NOR vs 1st MEL,1st NOR,1st MEL,169,6d
14,4th,1st NOR vs 1st MEL,1st NOR,2nd NOR,28,1
14,4th,1st NOR vs 1st MEL,1st NOR,2nd MEL,,0
14,4th,1st ST vs 1st RIN,1st RIN,1st ST,253,10
14,4th,1st ST vs 1st RIN,1st ST,1st RIN,184,10
14,4th,1st ST vs 1st RIN,1st ST,2nd RIN,,0
