round,grade,matchup,opposition,bowling_team,bowler_name,overs,maidens,runs,wickets,wides,no_balls
4,1st,1st CAS vs 1st MEL,1st CAS,1st MEL,Rishi Desai,4,,0,30,7.50,0
4,1st,1st CAS vs 1st MEL,1st MEL,1st CAS,Nathan Lambden,18,,3,55,3.05,1
4,1st,1st CAS vs 1st MEL,1st MEL,1st CAS,Harry Hoekstra,29,,10,67,2.31,0
4,1st,1st CAS vs 1st MEL,1st MEL,1st CAS,Muhammad Irfan,27,,9,83,3.07,3
4,1st,1st CAS vs 1st MEL,1st MEL,1st CAS,Ashvin Adihetty,17,,7,25,1.47,0
4,1st,1st CAS vs 1st MEL,1st MEL,1st CAS,Finlay Gordon,11,,3,26,2.36,1
4,1st,1st CAS vs 1st MEL,1st MEL,1st CAS,Ashley Chandrasinghe,3,,0,4,1.33,0
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,Max Birthisel,22.4,,3,78,3.44,1
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,Liam Mason,17,,3,26,1.52,0
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,Aiman Nadeem,11,,1,28,2.54,0
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,Jay Vine,17,,0,59,3.47,0
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,Daniel Wilczynski,11,,4,29,2.63,1
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,Bailey Toseland,18,,3,49,2.72,0
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,Dylan Brasher,4,,0,10,2.50,0
4,1st,1st ST vs 1st FOO,1st FOO,1st ST,Matthew Hennig,18,,4,54,3.00,0
4,1st,1st ST vs 1st FOO,1st FOO,1st ST,Luke Destito,20,,4,61,3.05,0
4,1st,1st ST vs 1st FOO,1st FOO,1st ST,Will Lovell,18.4,,6,51,2.73,0
4,1st,1st ST vs 1st FOO,1st FOO,1st ST,Thomas Paddington,13,,1,33,2.53,0
4,1st,1st ST vs 1st FOO,1st FOO,1st ST,James Seymour,7,,1,23,3.28,0
4,1st,1st ST vs 1st FOO,1st FOO,1st ST,Harry Dixon,2,,0,10,5.00,0
6,1st,CAR vs FOO,CAR,FOO,Ben Roosenboom,6,,0,16,2.66,0
6,1st,CAR vs FOO,CAR,FOO,Liam Mason,6,,1,37,6.16,8
6,1st,CAR vs FOO,CAR,FOO,Max Birthisel,5,,0,28,5.60,1
6,1st,CAR vs FOO,CAR,FOO,Jay Vine,6,,0,29,4.83,0
6,1st,CAR vs FOO,CAR,FOO,Aiman Nadeem,4,,0,24,6.00,0
6,1st,CAR vs FOO,CAR,FOO,Dylan Brasher,1,,0,8,8.00,0
6,1st,CAR vs FOO,FOO,CAR,Cameron Stevenson,6,,0,28,4.66,6
6,1st,CAR vs FOO,FOO,CAR,Aaron Smillie,6,,0,22,3.66,5
6,1st,CAR vs FOO,FOO,CAR,Tom Smyth,2,,0,11,5.50,0
6,1st,CAR vs FOO,FOO,CAR,Michael Archer,4,,0,22,5.50,1
6,1st,CAR vs FOO,FOO,CAR,Evan Gulbis,6,,0,24,4.00,0
6,1st,CAR vs FOO,FOO,CAR,Lucas Brasher,1,,0,11,11.00,0
6,1st,CAR vs FOO,FOO,CAR,Connor Rutland,3,,0,38,12.66,2
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,Wilson McGillivray,13,,4,32,2.46,1
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,Glenn Hannah,28,,8,50,1.78,2
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,Joshua Driscoll,21,,5,71,3.38,0
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,Jonathan Merlo,18.2,,2,49,2.67,0
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,Christian Howe,11,,4,25,2.27,0
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,Thomas Wrigglesworth,9,,1,28,3.11,0
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,Blake Thomson,2,,0,5,2.50,0
5,1st,1st ST vs 1st MEL,1st MEL,1st ST,Matthew Hennig,13.1,,1,40,3.03,0
5,1st,1st ST vs 1st MEL,1st MEL,1st ST,Luke Destito,17,,7,32,1.88,0
5,1st,1st ST vs 1st MEL,1st MEL,1st ST,Will Lovell,11,,1,41,3.72,0
5,1st,1st ST vs 1st MEL,1st MEL,1st ST,Thomas Paddington,11,,3,29,2.63,0
5,1st,1st ST vs 1st MEL,1st MEL,1st ST,Thomas Russ,6,,0,16,2.66,0
5,1st,1st ST vs 1st MEL,2nd ST,1st ST,Glenn Hannah,12,,2,34,2.83,0
5,1st,1st ST vs 1st MEL,2nd ST,1st ST,Joshua Driscoll,7,,2,23,3.28,0
5,1st,1st ST vs 1st MEL,2nd ST,1st ST,Jonathan Merlo,12,,1,63,5.25,0
5,1st,1st ST vs 1st MEL,2nd ST,1st ST,Wilson McGillivray,4,,0,13,3.25,2
5,1st,1st ST vs 1st MEL,2nd ST,1st ST,Christian Howe,7,,1,19,2.71,1
5,1st,1st ST vs 1st MEL,2nd ST,1st ST,Thomas Wrigglesworth,3,,0,17,5.66,0
6,1st,FIT vs CAS,FIT,CAS,Nathan Lambden,6,,0,49,8.16,2
6,1st,FIT vs CAS,FIT,CAS,Harry Hoekstra,8,,0,56,7.00,0
6,1st,FIT vs CAS,FIT,CAS,Akshay Ramkumar,8,,0,33,4.12,0
6,1st,FIT vs CAS,FIT,CAS,Finlay Gordon,8,,0,50,6.25,1
6,1st,FIT vs CAS,FIT,CAS,Evan Allaway,8,,1,43,5.37,0
6,1st,FIT vs CAS,FIT,CAS,Vinu Mohotty,2,,0,20,10.00,0
6,1st,FIT vs CAS,CAS,FIT,Samuel Elliott,6,,0,24,4.00,0
6,1st,FIT vs CAS,CAS,FIT,Harkirat Bajwa,8,,0,36,4.50,1
6,1st,FIT vs CAS,CAS,FIT,Ejaaz Alavi,8,,0,28,3.50,0
6,1st,FIT vs CAS,CAS,FIT,Zac Parr,3,,0,27,9.00,1
6,1st,FIT vs CAS,CAS,FIT,Matthew Spoors,8,,1,47,5.87,0
6,1st,FIT vs CAS,CAS,FIT,Liam Myott,7,,0,30,4.28,0
6,1st,ESS vs RIN,ESS,RIN,Matthew Fotia,6,,0,31,5.16,0
6,1st,ESS vs RIN,ESS,RIN,Justin Beaton,3,,0,25,8.33,0
6,1st,ESS vs RIN,ESS,RIN,David King,5,,0,33,6.60,0
6,1st,ESS vs RIN,ESS,RIN,Dylan Walker,5,,0,35,7.00,0
6,1st,ESS vs RIN,ESS,RIN,Jackson Freeman,3,,0,19,6.33,0
6,1st,ESS vs RIN,ESS,RIN,Rheedyi Adam Amin,1,,0,7,7.00,0
6,1st,ESS vs RIN,ESS,RIN,Timothy Sugumar,3,,0,19,6.33,0
6,1st,ESS vs RIN,RIN,ESS,Noman Safdar,3,,0,17,5.66,0
6,1st,ESS vs RIN,RIN,ESS,Muhammad Abdulrafay,4.2,,0,19,4.38,3
6,1st,ESS vs RIN,RIN,ESS,Arshit Rajput,6,,0,43,7.16,0
6,1st,ESS vs RIN,RIN,ESS,Nicholas McGuane,5,,0,34,6.80,0
6,1st,ESS vs RIN,RIN,ESS,Liam Molloy,5,,0,26,5.20,0
6,1st,ESS vs RIN,RIN,ESS,Muhammad Arsalan,2,,0,5,2.50,0
6,1st,KIN vs GEE,KIN,GEE,Josh Garner,7,,0,56,8.00,1
6,1st,KIN vs GEE,KIN,GEE,Oliver Haberfield,4,,0,14,3.50,3
6,1st,KIN vs GEE,KIN,GEE,Lachlan Neate,7,,0,28,4.00,0
6,1st,KIN vs GEE,KIN,GEE,Arjun Sehrawat,6,,0,32,5.33,0
